1 pinch,1/8 teaspoon
1 dash,1/8 teaspoon
3 teaspoon,1 tablespoon
2 tablespoon,1 fluid_oz.
4 tablespoon,1/4 cup
12 tablespoon,3/4 cup
16 tablespoon,1 cup
1 cup,8 fluid_oz.
2 cup,1 pint
2 cup,16 fluid_oz.
2 pint,1 quart
2 pint,32 fluid_oz.
4 quart,1 gallon
4 quart,128 fluid_oz.
15 milliliter,1 tablespoon
500 milliliter,1 pint
500 milliliter,2 cup
1 liter,1 quart
1 liter,2 pint
1 liter,4 cup
1 gram,0.035 ounce
1 kilogram,2.2 pound
12 unit,1 dozen
12 dozen,1 gross
12 gross,1 great_gross
1 kilogram,1000 gram